"NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Index","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx","YNeg"
-6.33,-8.37,-6.4,1.26,-6.56,-5.62,-4.97,-5.87,-12.78,-4.67,9.31,0.6833,1.07,0.8542496105,0.001,0.0282,0.0433,0.0196,0.0104815348,8.33333e-05,0.0070422535,0.0129,0.0078,0.0017671007,0.0015840247,-0.062152,-0.063463,-1.36
6.27,7.05,7.08,7.6,7.83,1.44,9.11,4.43,6.54,4.77,9.85,0.69,1.09,0.8015267176,0.0012,0.0277,0.0431,0.0191,0.0089675066,1e-04,0.0208333333,0.0066,0.0063,0.0011809091,0.0022238989,0.058851,0.052486,-6.33
-7.26,-8.21,-5.05,-13.28,-6.96,-5.24,-12.83,-3.98,-11.78,-11.12,8.69,0.71,1.16,0.8895097332,0.0033,0.028,0.0438,0.0204,0.0103428263,0.000275,0.0064935065,-0.0177,6e-04,0.0066808135,0.0034469828,-0.038843,-0.046205,-5.25
10.34,14.47,7.03,9.91,9,-4.43,7.03,2.96,17.68,35.3,8.81,0.7033,1.12,0.9021113244,0.0027,0.0283,0.0429,0.0247,0.0089351822,0.000225,0.0129032258,0.0069,6e-04,0.0022049532,0.0027011593,0.022276,0.020639,-2.28
-2.71,3.7,-0.55,-2.93,-1.1,-6.45,-1.35,-5.39,-2.54,-2.65,8.59,0.6967,1.08,0.9260649278,0.0025,0.0285,0.0429,0.0247,0.0093501527,0.0002083333,0.0063694268,0.0011,-8e-04,0.0012608247,0.0028994323,-0.017647,-0.024642,-7.26
-4.75,-3.62,-5.64,-4.17,-5.29,-0.94,-5.95,-3.16,-5.72,-2.25,7.66,0.68,1.02,1.0802307289,0.0032,0.0283,0.0426,0.0246,0.0110048192,0.0002666667,0.00625,-0.0029,6e-04,0.0024409752,0.0033975063,-0.037988,-0.040323,-2.71
4.44,0.41,1.02,2.3,6.26,9.6,6.22,7.62,6.83,1.91,8.15,0.67,1,1.0210150674,0.0037,0.0285,0.0427,0.0243,0.010525173,0.0003083333,0.0124223602,0.0075,0.002,0.0015923892,0.0037664529,0.070339,0.060119,-6.29
3.72,1.28,2.1,4.57,3.52,1.4,1.78,4.64,0.05,2.16,8.3,0.66,0.98,0.9967098897,0.0037,0.0285,0.0433,0.0244,0.0101983055,0.0003083333,0,3e-04,0.0034,0.0012004676,0.0032658448,0.023544,0.016976,-4.75
3.91,2.08,2.63,4.04,4.63,5.81,5.96,3.85,5.66,3.14,12.08,0.6,1.08,0.7636311733,0.0038,0.0269,0.0383,0.0246,0.013693478,0.0003166667,0.0057803468,0.0011,5e-04,0.0006080398,0.0016281149,0.027498,0.023331,-4.98
4.76,4.99,4.6,2.33,5.17,4.71,2.98,2.51,2.58,6.15,11.85,0.6133,0.9367,0.7787481805,0.0038,0.0272,0.0376,0.0248,0.0192532185,0.0003166667,0,0.0021,0.002,0.0006398349,0.001496229,0.018622,0.01731,-6.01
7.05,23.12,10.76,3.66,10.12,6.94,8.05,5.61,8.75,12.53,12.98,0.63,0.92,0.7615581615,0.0038,0.0273,0.0359,0.0248,0.0182017583,0.0003166667,0.0057142857,8e-04,0.002,0.0007175889,0.0027429124,0.054574,0.049768,-2.28
-0.18,0.3,0.89,-2.26,0.21,0.47,0.92,1.54,-3.39,-0.83,12.78,0.64,0.9,0.7723327182,0.0038,0.0272,0.0356,0.0247,0.0089627427,0.0003166667,0,0.0014,0.0019,0.0011155149,0.0029150307,-0.000692,-0.003118,-0.58
2.76,1.92,2.3,2.72,1.13,0.32,2.74,1.48,-2,3.24,12.83,0.64,0.92,0.7669856784,0.0038,0.0272,0.0353,0.0247,0.0057837717,0.0003166667,0,0.0024,0.0048,0.0004242975,0.003448245,0.017327,0.005832,-0.18
4.4,3.86,1.88,-0.31,0.55,3.62,4.93,3.96,2.39,3.94,15.01,0.65,0.9867,0.7029114676,0.0038,0.0262,0.0332,0.0226,0.0197732119,0.0003166667,0.0056179775,0.0056,-0.0011,0.0009209599,0.0042020594,0.020041,0.011624,-4.32
5.36,4.42,6.93,4.31,4.68,3.38,7.66,6.96,8.43,6.71,16.16,0.66,0.99,0.6568208317,0.0038,0.0262,0.0324,0.0221,0.0176069197,0.0003166667,0,0.0054,0.0032,0.0014385546,0.0036217464,0.046361,0.043999,-2.72
6.47,1.93,4.74,7.61,2.41,0.25,10.91,13.6,4.73,3.41,18.76,0.68,0.88,0.5934129709,0.0038,0.0246,0.0296,0.0207,0.031306828,0.0003166667,0.0054644809,-0.0135,-0.0043,0.0010777341,0.0035045733,0.035748,0.034707,-6.68
-7.06,-10.19,-7.1,-7.33,-9.14,-5.66,-7.2,-4.91,-4.51,-8.53,16.65,0.6867,0.8733,0.6485543633,0.0038,0.0251,0.0303,0.0217,0.0432676449,0.0003166667,0.0202020202,-0.0111,-0.0088,0.0019801137,0.0026899157,-0.068855,-0.073365,-4.52
