time,node,obj,bestbound
1.284714621684e13,364.0,1137.71,1089.97
1.284714737308e13,365.0,1137.71,1089.97
1.284714867262e13,368.0,1136.95,1089.97
1.284714947991e13,369.0,1136.95,1089.97
1.2847150377628e13,370.0,1136.95,1089.97
1.2847151183095e13,371.0,1136.95,1089.97
1.2847152012992e13,372.0,1136.95,1089.97
1.2847152701048e13,373.0,1136.95,1089.97
1.2847153542978e13,376.0,1136.95,1089.97
1.2847154252182e13,377.0,1136.95,1089.97
1.2847155083903e13,378.0,1136.95,1089.97
1.2847155763937e13,381.0,1136.95,1089.97
1.2847156404591e13,384.0,1136.95,1089.97
1.2847157136038e13,385.0,1136.95,1089.97
1.284715788754e13,386.0,1136.95,1089.97
1.2847158568303e13,387.0,1136.95,1089.97
1.2847159414973e13,388.0,1136.95,1089.97
1.2847160166839e13,390.0,1136.95,1090.96
1.2847160925998e13,391.0,1135.25,1090.96
1.2847161564465e13,394.0,1135.25,1090.96
1.2847162796184e13,396.0,1135.25,1090.96
1.2847163629362e13,398.0,1135.25,1090.96
1.2847164362632e13,399.0,1135.25,1090.96
1.284716517211e13,400.0,1135.25,1091.94
1.2847165891889e13,401.0,1135.25,1091.94
1.2847166590519e13,402.0,1135.25,1091.94
1.284716722935e13,403.0,1135.25,1091.94
1.2847168270003e13,405.0,1135.25,1091.94
1.2847169177202e13,406.0,1135.25,1091.94
1.2847170346934e13,407.0,1135.25,1091.94
1.2847171240276e13,408.0,1135.25,1091.94
1.2847172199617e13,412.0,1135.25,1091.94
1.284717393416e13,413.0,1135.25,1091.94
1.2847174849015e13,414.0,1135.25,1091.94
1.2847175698602e13,415.0,1135.25,1091.94
1.2847176495318e13,416.0,1135.25,1091.94
1.2847177285106e13,417.0,1135.25,1091.94
1.2847178123025e13,418.0,1135.25,1091.94
1.2847178902238e13,419.0,1135.25,1091.94
1.2847179990293e13,420.0,1135.25,1091.94
1.2847180841339e13,421.0,1135.25,1091.94
1.2847181507517e13,422.0,1135.25,1091.94
1.2847182101499e13,423.0,1135.25,1091.94
1.2847182687458e13,424.0,1135.25,1091.94
1.2847204434333e13,425.0,1135.25,1091.94
1.2847206874799e13,426.0,1135.25,1092.01
1.2847208277165e13,427.0,1135.25,1092.01
1.2847209268593e13,430.0,1135.25,1092.01
1.2847210301588e13,431.0,1135.25,1092.01
1.2847210994385e13,434.0,1135.25,1092.01
1.2847211760836e13,435.0,1135.25,1092.01
1.284721251015e13,436.0,1135.25,1092.01
1.2847213203311e13,437.0,1135.25,1092.01
1.2847213808961e13,438.0,1135.25,1092.01
1.2847214505403e13,439.0,1135.25,1092.01
1.2847215450523e13,440.0,1135.25,1092.01
1.2847216376682e13,441.0,1135.25,1092.01
1.2847217227728e13,442.0,1135.25,1092.01
1.2847218301562e13,443.0,1135.25,1092.01
1.2847219044313e13,444.0,1135.25,1092.01
1.2847219710856e13,445.0,1135.25,1092.01
1.28472207052e13,448.0,1135.25,1092.01
1.2847222153874e13,449.0,1135.25,1092.01
1.2847223169367e13,450.0,1135.25,1092.01
1.2847223970459e13,451.0,1135.25,1092.01
