"NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Index","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx","Ypos"
5.61,5.25,5.49,8.46,3.09,5.32,11.79,0.58,20.43,13.92,11.32,0.44,0.7767,0.6336866902,0.0016,0.036,0.0558,0.0281,0.0049816151,0.0001333333,0,-0.0133,-0.0042,0.0037749859,0,0.026569,0.022105,2.49
4.34,12.82,4.36,-2.5,5.02,0.28,-1.54,5.85,-7.79,-0.88,11.59,0.44,0.76,0.6117343845,0.002,0.0359,0.0553,0.0282,0.0080266211,0.0001666667,0,9e-04,0,0.0024288238,0,0.025526,0.022175,5.06
5.13,13.62,8.98,10.96,17.21,12.75,10.76,10.08,19.66,2.83,12.46,0.45,0.76,0.5775010734,0.002,0.0352,0.0554,0.0279,0.0029507271,0.0001666667,0,0.0061,0.0042,0.0032591933,0,0.071803,0.070634,5.61
9.42,11.79,12.05,14.57,9.83,8.77,10.93,1.43,1.32,29.75,12.95,0.46,0.76,0.5669523676,0.0016,0.0347,0.0543,0.028,0.0022194292,0.0001333333,0.0072992701,0.001,0.0069,0.0031496826,0,0.051943,0.04562,4.34
2.55,6.11,8.26,14.81,9.42,2.44,-0.46,8.48,7.81,3.64,13.43,0.47,0.76,0.5599111913,0.0015,0.0344,0.053,0.0276,0.0086888346,0.000125,0,0.007,0.0083,0.0028973664,0,0.039887,0.036744,5.13
13.55,10.67,11.65,24.36,10.06,5.36,7.66,13.98,19.55,23.07,14.31,0.48,0.77,0.5398354405,0.002,0.0337,0.05,0.0285,0.0089077281,0.0001666667,0,0.0055,0.0082,0.0018671591,0,0.071832,0.070187,9.42
1.76,10.32,7.02,2.66,3.41,5.31,1.22,1.26,-8.18,4.83,14.55,0.49,0.78,0.5290762473,0.002,0.0332,0.048,0.0281,0.0137604535,0.0001666667,0,0.0081,0.0054,0.0022225935,0,0.022461,0.018857,2.55
-0.77,6.43,0.67,1,0.13,-3.12,3.99,3.47,5.77,-1.56,14.92,0.5,0.79,0.5276960471,0.002,0.0329,0.0486,0.0275,0.0134560371,0.0001666667,-0.0072463768,0.0106,0.0082,0.0050044798,0,0.024029,0.021457,13.55
-10.45,-16.65,-13.16,-12.04,-10.53,-7.86,-11,-14.09,-10.16,-12.51,13.77,0.5167,0.82,0.5663485961,0.002,0.0329,0.0491,0.0274,0.019252871,0.0001666667,0,0.0035,0.0026,0.0057607721,0,-0.077588,-0.078356,1.76
5.59,7.24,9.41,5.54,9.96,2.19,10.71,5.92,10.22,7.33,15.85,0.57,0.9,0.5004246027,0.0015,0.0323,0.0484,0.0271,0.0217469882,0.000125,0.0072463768,0.006,0.0011,0.001568553,0,0.073442,0.072356,2.69
0.94,2.62,3.37,0.6,0.29,1.33,3.6,-1.07,-1.35,2.19,15.99,0.59,0.92,0.496121234,0.002,0.0321,0.0474,0.0264,0.0196660344,0.0001666667,0.0071942446,0.0111,0.0067,0.0026195074,0,0.014124,0.00893,0.87
2.29,4.6,2.94,6.73,5.23,2.5,6.15,1.06,0.33,2.18,16.01,0.61,0.94,0.4915981409,0.0016,0.0318,0.0462,0.0268,0.021398483,0.0001333333,0,-0.0031,0.0067,0.0011837587,0,0.004817,0.001617,5.59
5.96,4.41,7.21,8.51,4.88,4.78,8.79,3.54,3.42,6.38,17.21,0.6467,0.9667,0.4657070279,0.0013,0.0318,0.0454,0.0269,0.021804227,0.0001083333,0,6e-04,0.0025,0.0022244051,0,0.076281,0.075272,0.94
9.65,4.34,10.93,8.66,6.71,4.62,15.75,5.46,-2.56,8.18,17.28,0.6833,0.9933,0.4502783539,0.0011,0.0315,0.0452,0.0257,0.022840762,9.16667e-05,0,0.0205,0.0109,0.0028304004,0,0.010666,-0.000321,2.29
1.01,-4.46,6.22,13.11,-0.68,-3.07,-6.58,-2.45,1.47,3.43,17.18,0.72,1.02,0.4585881045,0.0012,0.031,0.0453,0.0255,0.0252247216,1e-04,0,0.0038,0.001,0.0014983745,0,-0.00383,-0.007289,5.96
5.69,11.27,10.57,7.23,4.88,-0.29,3.95,8.96,7.88,6.78,17.83,0.73,1.05,0.4465735628,0.0017,0.031,0.0449,0.0258,0.0250032496,0.0001416667,0.0071428571,-0.0013,0.0024,0.0015725492,0,0.036648,0.035916,9.65
