All;Recession
-1.266477869;
0.798602843;
-0.137009187;
0.334985575;
0.061561581;
-0.05934521;
-0.460587943;
-0.187891883;
-0.185576607;
-0.225719693;
0.10420258;
-1.540776825;
0.734934469;
0.355495466;
0.027852592;
0.999992857;
-1.786534835;
-0.301146065;
-2.39376271;
-0.096120421;
0.184409441;
-0.089766601;
0.029049731;
-0.004924688;
-0.612038908;
-0.430634383;
0.510845733;
0.493504709;
0.414612151;
0.695406238;
0.985279967;
-0.912893909;
0.295263634;
0.142179627;
-0.076030867;
0.45954373;
0.664507426;
0.408894082;
0.147579819;
-0.687249119;
0.204319979;
-0.491003675;
-0.35472552;
0.028777045;
0.517499422;
-0.325823141;
-0.74926211;
-0.021395465;
-1.423135198;
0.125884596;
-1.487530535;
0.04411511;
-1.515219406;
-0.420586391;
-1.361578522;
-0.011431106;
0.095340794;
-0.288838405;
0.039394004;
-0.07311037;
0.015227253;
0.167879458;
-0.163279454;
-0.098032153;
0.249526558;
-0.612693253;
0.324672095;
-0.346201403;
0.485592552;
0.267106175;
-0.05980972;
-0.06413785;
0.941818473;
-0.306275016;
0.015453274;
0.707727332;
0.526203704;
-0.063613865;
0.899810942;
-1.196056881;
-0.095282599;
0.128880507;
0.0109336;
-0.068928708;
-0.022845205;
-0.20895399;
-0.559511096;
-0.021965836;
-0.145652429;
