0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
4.378;-0.148101447;-0.511948868;0.032254136;-1.582543876;-0.206905616;-0.287056836;-0.42218549;-0.108793089;-0.062660764;-0.247422931;-1.021355906;-0.105802881;-0.27403165;-0.101181685;-0.300401417;-0.059902135;-0.001713429;0.036248623;-0.202987442;-0.027038153
4.585;-0.148131558;-0.439915765;0.029520677;-1.560180562;-0.209311909;-0.287056274;-0.422186294;-0.108793164;-0.06266073;-0.24742288;-1.049611504;-0.090189446;-0.296303859;-0.097270257;-0.321902612;-0.014017349;-0.001713429;0.037239145;-0.19228384;-0.026622136
4.801;-0.148131862;-0.367502163;0.02657176;-1.536859676;-0.212121363;-0.287056838;-0.422186252;-0.108793111;-0.062660761;-0.24742292;-1.08017457;-0.074878399;-0.322715941;-0.093258037;-0.345182181;-0.001025916;-0.001713427;0.037555999;-0.181932972;-0.026622042
5.028;-0.148131863;-0.288812439;0.023380119;-1.513431601;-0.207920154;-0.28705682;-0.422186294;-0.108793164;-0.062660762;-0.247422916;-1.082756491;-0.058870056;-0.353963717;-0.089154627;-0.370490243;-0.001025908;-0.001713417;0.037104097;-0.17206725;-0.026622034
5.266;-0.14813182;-0.219004872;0.020083072;-1.489497627;-0.194407398;-0.287056848;-0.422186296;-0.108793167;-0.062660766;-0.247422925;-1.068720758;-0.039494821;-0.390343044;-0.084953371;-0.397893064;-0.001025909;-0.001713416;0.035757325;-0.16271887;-0.026622033
5.514;-0.148131857;-0.174359163;0.016322961;-1.465326422;-0.180379916;-0.28705681;-0.422186287;-0.108793163;-0.062660767;-0.247422915;-1.055006714;-0.022689007;-0.399231924;-0.080768849;-0.407336117;-0.001025899;-0.00171343;0.03338937;-0.154172303;-0.026622028
5.775;-0.148131862;-0.16366031;0.012476927;-1.440881573;-0.166885499;-0.287056817;-0.422186293;-0.108793164;-0.062660761;-0.247422945;-1.041270102;-0.005680426;-0.399232718;-0.076487751;-0.407333459;-0.001026067;-0.00171343;0.029874968;-0.146116592;-0.026622087
6.047;-0.148131863;-0.157248309;0.008193116;-1.416754157;-0.152931253;-0.287056432;-0.42218629;-0.108793165;-0.062660767;-0.24742291;-1.027950817;0.004613969;-0.399233509;-0.072170734;-0.407336108;-0.001025926;-0.001713412;0.025052175;-0.146015984;-0.026622021
6.333;-0.148131866;-0.187325502;0.003611039;-1.390540431;-0.139012928;-0.287056113;-0.42218629;-0.108793109;-0.062660749;-0.247422923;-1.015173208;0.005777034;-0.399232913;-0.067839295;-0.407336105;-0.001025886;-0.001713423;0.01871798;-0.146015494;-0.026622032
6.632;-0.148131862;-0.198925212;-0.001352454;-1.369705812;-0.125293814;-0.287056852;-0.422186173;-0.108793155;-0.062660763;-0.24742294;-1.004084626;0.005844994;-0.399233202;-0.0633668;-0.407335393;-0.00102592;-0.00171343;0.010733966;-0.146015464;-0.026622022
